Film,Year,URL Encoded name,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator
The Royal Tenenbaums,2001,The%20Royal%20Tenenbaums,Wes Anderson,http://imdb.com/name/nm0027572/,Convent Ave. and 144th St.<br>Hamilton Heights<br>Manhattan,40.8240000000000,-73.9467000000000,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0265666/,"Covent Avenue and 144th Street, Hamilton Heights"
The Seven Year Itch,1955,The%20Seven%20Year%20Itch,Billy Wilder,http://imdb.com/name/nm0000697/,Lexington Ave. between 51st St. and 52nd St.<br>Midtown<br>Manhattan,40.7574488514269,-73.9716392755508,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0048605/,Lexington Avenue between 51st and 52nd Streets
The Siege,1998,The%20Siege,Edward Zwick,http://imdb.com/name/nm0001880/,Greenpoint<br>Brooklyn,40.7302507497813,-73.9543604850769,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0133952/,"Brooklyn Bridge, Greenpooint"
The Sopranos,1999-2007,The%20Sopranos,"David Chase,(more)","http://imdb.com/name/nm0153740/,http://imdb.com/title/tt0141842/fullcredits#writers","Empire Stores Park<br>Brooklyn Bridge
",40.7040890000000,-73.9936170000000,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0141842/,F.A.O. Schwarz - 58th and Fifth Avenue
The Squid and the Whale,2005,The%20Squid%20and%20the%20Whale,Noah Baumbach,http://imdb.com/name/nm0000876/,Museum of Natural History<br>W. 79th St. and Central Park West<br>Manhattan,40.7809963774517,-73.9724546670913,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0367089/,Museum of natural History 81st and Central Park West
The Taking of Pelham One Two Three,1974,The%20Taking%20of%20Pelham%20One%20Two%20Three,Joseph Sargent,http://imdb.com/name/nm0765121/,Subway near Court St.<br>Brooklyn,40.6930772101225,-73.9907366037368,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0072251/,Subway near Court St.
The Warriors,1979,The%20Warriors,Walter Hill,http://imdb.com/name/nm0001353/,Astroland<br>Coney Island <br>Brooklyn,40.5746441709563,-73.9788597822189,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk
The Warriors,1979,The%20Warriors,Walter Hill,http://imdb.com/name/nm0001353/,Subway Car<br>Coney Island<br>Brooklyn,40.5757606001838,-73.9812737703323,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk
The Wiz,1978,The%20Wiz,Sidney Lumet,http://imdb.com/name/nm0001486/,World Trade Center<br>Lower Manhattan,40.7109224485850,-74.0140503644943,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0078504/,World Trade Center
The Wrong Man,1956,The%20Wrong%20Man,Alfred Hitchcock,http://imdb.com/name/nm0000033/,Subway at 53rd St. and Fifth Ave.<br>Midtown<br>Manhattan,40.7605044880654,-73.9754641056060,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0051207/,Subway at 53rd Street and Fifth Avenue
Three Days of the Condor,1975,Three%20Days%20of%20the%20Condor,Sydney Pollack,http://imdb.com/name/nm0001628/,Riverside Drive<br>Upper West Side<br>Manhattan,40.8143126677903,-73.9618599414825,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0073802/,North of 124th Street and Riverside Drive
Times Square,1980,Times%20Square,Allan Moyle,http://imdb.com/name/nm0610496/,W. 42nd St. between Seventh Ave. and Eighth Ave.<br>Times Square<br>Manhattan,40.7566849203205,-73.9884245395660,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0081635/,Times Square
Tootsie,1982,Tootsie,Sydney Pollack,http://imdb.com/name/nm0001628/,W. 42nd between Ninth Ave. and Tenth Ave.<br>Midtown<br>Manhattan,40.7591879809907,-73.9947760105133,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0084805/,42nd between 9th and 10th Aves
Two for the Seesaw,1962,Two%20for%20the%20Seesaw,"Robert Wise
",http://imdb.com/name/nm0936404/,Brooklyn Bridge,40.7056930038681,-73.9963048696517,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0056626/,Brooklyn Bridge
Up the Down Staircase,1967,Up%20the%20Down%20Staircase,Robert Mulligan,http://imdb.com/name/nm0612322/,East Harlem (El Barrio)<br>Manhattan,40.7979246369325,-73.9422154426574,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0062425/,East Harlem (El Barrio)
Up the Sandbox,1972,Up%20the%20Sandbox,Irvin Kershner,http://imdb.com/name/nm0449984/,Carousel<br>Central Park<br>Manhattan,40.7705643416205,-73.9775240421295,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0069449/,Central Park
Up the Sandbox,1972,Up%20the%20Sandbox,Irvin Kershner,http://imdb.com/name/nm0449984/,Riverside Park near W. 109th St.<br>Morningside Heights<br>Manhattan,40.8051690029546,-73.9692091941833,Manhattan,Morningside Heights,N/A,Film,http://www.imdb.com/title/tt0069449/,Riverside Park
Uptown Girls,2003,Uptown%20Girls,Boaz Yakin,http://imdb.com/name/nm0945026/,Astroland<br>Coney Island <br>Brooklyn,40.5740248299205,-73.9788812398910,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0263757/,Coney Island
Vanilla Sky,2001,Vanilla%20Sky,Cameron Crowe,http://imdb.com/name/nm0001081/,W. 45th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.7578714478420,-73.9853990077972,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0259711/,Times Square
Wall Street,1987,Wall%20Street,Oliver Stone,http://imdb.com/name/nm0000231/,New York Stock Exchange<br>Exchange Place<br>Lower Manhattan,40.7060508638740,-74.0105634927749,Manhattan,Lower Manhattan,New York Landmarks,Film,http://www.imdb.com/title/tt0094291/,New York Stock Exchange - Exchange place near broadway
Wall Street,1987,Wall%20Street,Oliver Stone,http://imdb.com/name/nm0000231/,Broadway and Vesey St.,40.7114000000000,-74.0086000000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0094291/,Broadway and Vesey Street
West Side Story,1961,West%20Side%20Story,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/",W. 68th St.<br>Upper West Side<br>Manhattan,40.7762192933307,-73.9839184284210,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street
West Side Story,1961,West%20Side%20Story,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/",W. 68th St.<br>Upper West Side<br>Manhattan,40.7765117777413,-73.9851200580596,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street
When Harry Met Sally…,1989,When%20Harry%20Met%20Sally%85,Rob Reiner,http://www.imdb.com/name/nm0001661/,Katz's Deli<br>205 E. Houston St.<br>Manhattan,40.7223220000000,-73.9874330000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0098635/,Katz's Deli - Houston Street at Ludlow St
When Harry Met Sally…,1989,When%20Harry%20Met%20Sally%85,Rob Reiner,http://www.imdb.com/name/nm0001661/,Washington Square Park<br>West Village<br>Manhattan,40.7311369361184,-73.9971846342086,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0098635/,Washington Square Park
Wolfen,1981,Wolfen,Michael Wadleigh,http://imdb.com/name/nm0905579/,World Trade Center<br>Lower Manhattan,40.7101335850935,-74.0126770734786,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,World Trade Center
Wolfen,1981,Wolfen,Michael Wadleigh,http://imdb.com/name/nm0905579/,Manhattan Bridge,40.7082305151118,-73.9911764860153,Manhattan ,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,Manhattan Bridge
Wolfen,1981,Wolfen,Michael Wadleigh,http://imdb.com/name/nm0905579/,Charlotte St.<br>The Bronx,40.8347879563951,-73.8921225070953,The Bronx,The Bronx,N/A,Film,http://www.imdb.com/title/tt0083336/,Charlotte Street near 172nd Street
Working Girl,1988,Working%20Girl,Mike Nichols,http://imdb.com/name/nm0001566/,Staten Island Ferry<br>New York Harbor,40.6823303463911,-74.0357494354248,Staten Island,Staten Island,N/A,Film,http://www.imdb.com/title/tt0096463/,Staten Island Ferry - crossing the upper bay
You're a Big Boy Now,1966,You%27re%20a%20Big%20Boy%20Now,Francis Ford Coppola,http://imdb.com/name/nm0000338/,Steeplechase Park<br>Coney Island<br>Brooklyn,40.5747256627710,-73.9803296327590,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0061209/,"Steeplechase Park, Coney Island"
You're a Big Boy Now,1966,You%27re%20a%20Big%20Boy%20Now,Francis Ford Coppola,http://imdb.com/name/nm0000338/,"New York Public Library<br>Fifth Ave. and 41st St.<br>Manhattan
",40.7528651331099,-73.9815366268157,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0061209/,"New York Public Library, Fifth ave bt 41st and 42nd"
You've Got Mail,1998,You%27ve%20Got%20Mail,Nora Ephron,http://imdb.com/name/nm0001188/,Verdi Square<br>W. 73rd St.  & Broadway<br>Manhattan,40.7792578185718,-73.9815366268157,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,Verdi Square
You've Got Mail,1998,You%27ve%20Got%20Mail,Nora Ephron,http://imdb.com/name/nm0001188/,91st Street Community Garden<br>Riverside Park<br>Manhattan,40.7928238690811,-73.9774167537689,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,91st Street Community Garden
