Film,Year,URL Encoded name,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator
Six Degrees of Separation,1993,Six%20Degrees%20of%20Separation,Fred Schepisi,http://imdb.com/name/nm0770961/,Central Park<br>Manhattan,40.7715068669966,-73.9690428972244,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0108149/,NEAR Fifth Ave & 70th St. in Central Park
Six Degrees of Separation,1993,Six%20Degrees%20of%20Separation,Fred Schepisi,http://imdb.com/name/nm0770961/,Metropolitan Museum of Art<br>Fifth Ave. at 82nd St.,40.7790790856402,-73.9626109600067,Manhattan,Upper East Side,New York Landmarks,Film,http://www.imdb.com/title/tt0108149/,Metropolitan Museum of Art - Fifth Avenue at 82nd St
Sleepers,1996,Sleepers,Barry Levinson,http://imdb.com/name/nm0001469/,"W. 47th St., near Pier 87<br>Manhattan",40.7646163731163,-73.9974367618560,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0117665/,"West 47th Street, near Pier 87"
Sleepers,1996,Sleepers,Barry Levinson,http://imdb.com/name/nm0001469/,"W. 47th St., near Pier 87<br>Manhattan",40.7647463890479,-73.9979088306427,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0117665/,"West 47th Street, near Pier 87"
Smithereens,1982,Smithereens,Susan Seidelman,http://imdb.com/name/nm0782384/,Lower East Side<br>Manhattan,40.7185400000000,-73.9891800000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0084698/,Lower East Side
Smoke,1995,Smoke,Wayne Wang,http://imdb.com/name/nm0911061/,Prospect Park and 16th St.<br>Windsor Terrace<br>Brooklyn,40.6572584437698,-73.9746111631393,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0114478/,Prospect Park West and 16th Street in Windsor Terrace
Sophie's Choice,1982,Sophie%27s%20Choice,Alan J. Pakula,http://imdb.com/name/nm0001587/,101 Rugby Rd.<br>Brooklyn,40.6473340000000,-73.9663730000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0084707/,"101 Rugby Road, Brooklyn, NY"
Spider-Man,2002,Spider%2DMan,Sam Raimi,http://www.imdb.com/name/nm0000600/,Midtown<br>Manhattan,40.7525888,-73.97975564,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0145487/,
Spider-Man,2002,Spider%2DMan,Sam Raimi,http://www.imdb.com/name/nm0000600/,Midtown<br>Manhattan,40.75668492,-73.97855401,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0145487/,
Spider-Man,2002,Spider%2DMan,Sam Raimi,http://www.imdb.com/name/nm0000600/,Sunnyside<br>Queens,40.7482323307470,-73.9139986038208,Queens,Queens,N/A,Film,http://www.imdb.com/title/tt0145487/,Sunnyside
Splash,1984,Splash,Ron Howard,http://imdb.com/name/nm0000165/,Pier 17<br>Manhattan,40.7046844789603,-74.0020716190338,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0088161/,Pier 17
